Date,Product Or service Name, Amount  ,restaurant_id
04-04-2025,POS Subscription - Renewal,7000,58743
04-04-2025,POS Subscription - Renewal,7000,54943
04-04-2025,POS Subscription - Renewal,7000,52355
04-04-2025,POS Subscription - Renewal,7000,52352
04-04-2025,POS Subscription - Renewal,5527.99,344365
04-04-2025,POS Subscription - Renewal,7383.03,335456
04-04-2025,POS Subscription - Renewal,7000,42530
04-04-2025,POS Subscription - Renewal,7000,316883
04-04-2025,POS Subscription - Renewal,7000,155601
04-04-2025,POS Subscription - Renewal,7000,152599
04-04-2025,POS Subscription - Renewal,7000,152596
04-04-2025,POS Subscription - Renewal,7000,148295
04-04-2025,POS Subscription - Renewal,7000,148292
04-04-2025,POS Subscription - Renewal,7000,120156
04-04-2025,POS Subscription - Renewal,7000,116913
04-04-2025,POS Subscription - Renewal,7000,95037
04-04-2025,POS Subscription - Renewal,7000,88265
04-04-2025,POS Subscription - Renewal,7000,84953
04-04-2025,POS Subscription - Renewal,7000,84950
04-04-2025,POS Subscription - Renewal,7000,72309
04-04-2025,POS Subscription - Renewal,7000,72283
04-04-2025,POS Subscription - Renewal,7000,61109
04-04-2025,POS Subscription - Renewal,7000,49535
04-04-2025,POS Subscription - Renewal,7000,47903
04-04-2025,POS Subscription - Renewal,7000,47769
04-04-2025,POS Subscription - Renewal,7000,47669
04-04-2025,POS Subscription - Renewal,7000,47602
04-04-2025,POS Subscription - Renewal,7000,47600
04-04-2025,POS Subscription - Renewal,7000,47592
04-04-2025,POS Subscription - Renewal,7000,47591
04-04-2025,POS Subscription - Renewal,7000,47589
04-04-2025,POS Subscription - Renewal,7000,46750
04-04-2025,POS Subscription - Renewal,7000,46741
04-04-2025,POS Subscription - Renewal,7000,46735
04-04-2025,POS Subscription - Renewal,7000,46584
04-04-2025,POS Subscription - Renewal,7000,46044
04-04-2025,POS Subscription - Renewal,7000,45252
04-04-2025,POS Subscription - Renewal,7000,45251
04-04-2025,POS Subscription - Renewal,7000,43255
04-04-2025,POS Subscription - Renewal,7000,42231
